File line_2.dat has 594 lines
9.950099 9.967664 1.959133 3.598722 -54520.447555
9.923416 10.010837 1.964742 3.625427 -54520.632332
9.903236 10.013993 1.966286 3.594269 -54108.244152
9.860914 10.062482 2.005676 3.554360 -53450.964597
9.848751 10.080575 1.956299 3.517007 -53057.115917
9.848751 10.080575 1.956299 3.517007 -53107.024460
9.848751 10.080575 1.956299 3.517007 -53213.678892
9.832180 10.057606 1.973922 3.513428 -52897.256564
9.840831 10.094775 2.020392 3.502711 -52880.878702
9.876099 10.140264 1.984284 3.465409 -52864.764885
9.845394 10.127759 1.980760 3.459633 -52576.050909
9.847991 10.104391 1.977565 3.454351 -52554.832156
9.847991 10.104391 1.977565 3.454351 -53107.568402
9.812313 10.145219 1.964171 3.492833 -52576.989337
9.804795 10.098332 1.993397 3.495345 -52537.431969
9.804795 10.098332 1.993397 3.495345 -53048.000184
9.829989 10.133729 1.945374 3.474982 -52575.606073
9.793834 10.113707 1.919254 3.447088 -52070.633225
9.793834 10.113707 1.919254 3.447088 -52337.864960
9.750826 10.104023 1.888371 3.414721 -51479.495059
9.716718 10.122180 1.902592 3.438476 -51398.561281
9.732516 10.133216 1.934087 3.415907 -51345.667521
9.732516 10.133216 1.934087 3.415907 -51546.524679
9.732516 10.133216 1.934087 3.415907 -51791.609851
9.742925 10.139173 1.928000 3.396588 -51276.101354
9.697915 10.146629 1.919561 3.382158 -50813.226207
9.651300 10.105790 1.962155 3.392751 -50533.734567
9.651300 10.105790 1.962155 3.392751 -50962.631477
9.689972 10.121281 1.921453 3.395418 -50854.542719
9.689972 10.121281 1.921453 3.395418 -50876.963108
9.689972 10.121281 1.921453 3.395418 -51192.308406
9.658997 10.116012 1.886565 3.410383 -50730.188926
9.658997 10.116012 1.886565 3.410383 -50835.069830
9.645839 10.150938 1.842177 3.408357 -50612.368828
9.656589 10.175980 1.889290 3.384786 -50513.004217
9.622053 10.201633 1.852171 3.347038 -49954.602480
9.622053 10.201633 1.852171 3.347038 -49968.766034
9.622053 10.201633 1.852171 3.347038 -50297.329277
9.648165 10.193359 1.815855 3.315083 -49909.599071
9.628393 10.225769 1.824867 3.315352 -49759.540337
9.628393 10.225769 1.824867 3.315352 -49885.130230
9.586864 10.262660 1.862894 3.285553 -49212.634868
9.586864 10.262660 1.862894 3.285553 -49726.051442
9.560904 10.289533 1.860999 3.242910 -48689.484234
9.586064 10.240471 1.821118 3.201834 -48568.512583
9.610589 10.249017 1.859564 3.157484 -48418.037113
9.610589 10.249017 1.859564 3.157484 -49020.031801
9.565971 10.251995 1.821013 3.157575 -48080.916280
9.565971 10.251995 1.821013 3.157575 -48284.908138
9.539906 10.212152 1.795480 3.166735 -47953.242167
9.539906 10.212152 1.795480 3.166735 -48178.018646
9.539906 10.212152 1.795480 3.166735 -48331.440306
9.517236 10.175585 1.787083 3.142747 -47601.724522
9.489363 10.201778 1.805752 3.125735 -47264.787234
9.489363 10.201778 1.805752 3.125735 -47726.843589
9.492928 10.244095 1.824448 3.111808 -47187.175378
9.492928 10.244095 1.824448 3.111808 -47198.423650
9.463534 10.234077 1.826876 3.101518 -46890.516896
9.476732 10.257413 1.779687 3.068598 -46743.437675
9.458022 10.251785 1.743386 3.082881 -46710.451533
9.458022 10.251785 1.743386 3.082881 -46938.377031
9.458022 10.251785 1.743386 3.082881 -47045.117622
9.414618 10.249047 1.787863 3.058976 -46210.394135
9.414618 10.249047 1.787863 3.058976 -46280.665858
9.414618 10.249047 1.787863 3.058976 -46529.790186
9.427661 10.202645 1.778372 3.084610 -46497.407807
9.427661 10.202645 1.778372 3.084610 -46907.130625
9.427661 10.202645 1.778372 3.084610 -47023.944218
